sample	chr	startpos	endpos	nProbesCr	nProbesAf	logR	baf	nMajor	nMinor	purifiedLogR	purifiedLoh
patient2_i4	chr5	121806351	149410250	25318	13421	0.392	0.363	2	1	0.481	0.328
patient2_i4	chr5	149410251	149695250	246	129	0.716	0.293	3	1	0.86	0.475
patient2_i4	chr5	149695251	156048750	5869	4424	0.394	0.363	2	1	0.484	0.326
patient2_i4	chr5	156049751	156060750	9	0	-0.846	NA	NA	NA	-1.194	NA
patient2_i4	chr5	156068751	163349450	6707	4178	0.384	0.362	2	1	0.472	0.329
patient2_i4	chr5	163349451	163453450	100	5	-0.158	0.489	1	1	-0.204	0.028
patient2_i4	chr5	163453451	167964450	4171	2594	0.372	0.366	2	1	0.457	0.321
patient2_i4	chr5	167964451	168688450	667	316	0.727	0.279	3	1	0.873	0.506
patient2_i4	chr5	168688451	176332750	6785	4758	0.401	0.363	2	1	0.492	0.326
patient2_i4	chr5	176332751	176457750	105	5	0.815	0.404	3	2	0.973	0.217
patient2_i4	chr5	176459751	181171350	3742	2228	0.434	0.362	2	1	0.531	0.327
patient2_i4	chr6	148001	42701250	37937	29311	0.392	0.086	3	0	0.481	0.987
patient2_i4	chr6	42702251	43146250	346	144	0.826	0.076	4	0	0.985	0.962
patient2_i4	chr6	43146251	73356400	25740	16951	0.363	0.088	3	0	0.446	0.987
patient2_i4	chr6	73357401	79569400	5616	4529	-0.076	0.121	2	0	-0.098	0.976
patient2_i4	chr6	79569401	79941400	352	314	0.357	0.084	3	0	0.44	0.996
patient2_i4	chr6	79941401	104656850	22950	14922	-0.78	0.192	1	0	-1.088	0.969
patient2_i4	chr6	104657851	104750850	80	18	-2.125	0.487	0	0	-5.469	0.345
patient2_i4	chr6	104750851	170610150	60692	36357	-0.761	0.192	1	0	-1.058	0.962
patient2_i4	chr7	50351	6738250	5501	3790	0.45	0.364	2	1	0.55	0.323
patient2_i4	chr7	6739251	20333500	12563	10570	0.365	0.362	2	1	0.449	0.331
patient2_i4	chr7	20333501	20404500	68	3	0.099	0.483	1	1	0.124	0.043
patient2_i4	chr7	20405501	71743500	41574	26976	0.396	0.361	2	1	0.486	0.331
patient2_i4	chr7	71744501	77090500	3015	1063	0.461	0.364	2	1	0.563	0.322
patient2_i4	chr7	77108501	97775500	19086	8745	0.368	0.366	2	1	0.453	0.322
patient2_i4	chr7	97775501	104506150	5477	2027	0.43	0.366	2	1	0.527	0.318
patient2_i4	chr7	104506151	105292150	710	3	1.024	0.482	3	3	1.209	0.039
patient2_i4	chr7	105293151	122143400	15440	7241	0.372	0.362	2	1	0.458	0.33
patient2_i4	chr7	122143401	122439400	262	182	0.728	0.281	3	1	0.874	0.501
patient2_i4	chr7	122439401	131204400	7967	3625	0.38	0.362	2	1	0.467	0.33
patient2_i4	chr7	131204401	131841400	578	415	0.75	0.286	3	1	0.899	0.489
patient2_i4	chr7	131841401	146724350	13080	6976	0.39	0.362	2	1	0.478	0.328
patient2_i4	chr7	146725351	146864350	130	43	0.694	0.298	3	1	0.835	0.465
patient2_i4	chr7	146865351	159333850	10703	8112	0.397	0.362	2	1	0.487	0.328
patient2_i4	chr8	206001	12037600	9402	10691	-0.086	0.487	1	1	-0.11	0.034
patient2_i4	chr8	12125601	23391050	9950	8990	0.337	0.372	2	1	0.415	0.307
patient2_i4	chr8	23391051	41028050	15953	8487	0.206	0.412	2	1	0.257	0.216
patient2_i4	chr8	41028051	46613350	3222	1385	0.431	0.356	2	1	0.527	0.342
patient2_i4	chr8	46613351	46633350	20	0	1.107	NA	NA	NA	1.301	NA
patient2_i4	chr8	46633351	145075350	90895	51933	0.422	0.352	2	1	0.517	0.351
patient2_i4	chr9	11001	138208550	99217	56505	-0.067	0.488	1	1	-0.085	0.031
patient2_i4	chr10	47451	133621150	116953	73674	-0.072	0.487	1	1	-0.092	0.034
patient2_i4	chr11	197251	22812100	20390	14885	-0.073	0.491	1	1	-0.094	0.023
patient2_i4	chr11	22812101	22874100	56	35	-0.844	0.234	1	0	-1.19	0.857
patient2_i4	chr11	22874101	34187450	10395	5875	-0.089	0.497	1	1	-0.114	0.008
patient2_i4	chr11	34187451	34354450	149	74	0.439	0.356	2	1	0.537	0.342
patient2_i4	chr11	34354451	34855700	325	248	0.764	0.284	3	1	0.915	0.492
patient2_i4	chr11	34855701	35010700	145	224	0.36	0.365	2	1	0.444	0.322
patient2_i4	chr11	35010701	45680700	9972	5210	-0.088	0.496	1	1	-0.113	0.01
patient2_i4	chr11	45680701	45917700	226	106	-0.775	0.202	1	0	-1.081	0.935
patient2_i4	chr11	45917701	65339150	13733	7504	-0.056	0.482	1	1	-0.072	0.046
patient2_i4	chr11	65339151	65549150	174	4	0.291	0.481	2	1	0.36	0.046
patient2_i4	chr11	65550151	74254450	7595	3712	-0.032	0.493	1	1	-0.04	0.018
patient2_i4	chr11	74254451	74990450	651	138	0.402	0.37	2	1	0.494	0.31
patient2_i4	chr11	74990451	101071400	23711	15461	-0.084	0.487	1	1	-0.108	0.033
patient2_i4	chr11	101071401	102660400	1450	704	0.404	0.351	2	1	0.496	0.354
patient2_i4	chr11	102660401	135075250	30108	18917	-0.073	0.494	1	1	-0.094	0.015
patient2_i4	chr12	78551	732150	546	468	-0.064	0.494	1	1	-0.082	0.016
patient2_i4	chr12	732151	888150	125	102	-0.774	0.212	1	0	-1.078	0.903
patient2_i4	chr12	888151	30999350	27124	17318	-0.066	0.495	1	1	-0.085	0.013
patient2_i4	chr12	30999351	32576600	1140	814	0.437	0.365	2	1	0.535	0.32
patient2_i4	chr12	32576601	34313600	1603	1500	-0.068	0.478	1	1	-0.087	0.057
patient2_i4	chr12	34313601	34388600	74	108	0.472	0.369	2	1	0.577	0.309
patient2_i4	chr12	34388601	111439750	67875	38307	-0.078	0.495	1	1	-0.099	0.012
patient2_i4	chr12	111439751	112243750	646	52	0.447	0.381	2	1	0.546	0.283
patient2_i4	chr12	112243751	115003250	2485	1372	-0.052	0.494	1	1	-0.066	0.016
patient2_i4	chr12	115003251	115113250	105	95	0.409	0.363	2	1	0.501	0.326
patient2_i4	chr12	115113251	118134250	2695	1412	-0.059	0.488	1	1	-0.075	0.03
patient2_i4	chr12	118136251	118269250	107	67	0.427	0.384	2	1	0.522	0.274
patient2_i4	chr12	118269251	121000250	2384	1639	-0.038	0.493	1	1	-0.049	0.018
patient2_i4	chr12	121000251	122434250	1108	573	-0.689	0.196	1	0	-0.948	0.922
patient2_i4	chr12	122437251	133248950	9531	8151	-0.06	0.495	1	1	-0.077	0.013
patient2_i4	chr13	18355101	50696100	29270	18515	-0.065	0.489	1	1	-0.083	0.028
patient2_i4	chr13	50696101	50840100	136	129	0.445	0.376	2	1	0.544	0.293
patient2_i4	chr13	50840101	57037100	5612	3229	-0.091	0.488	1	1	-0.117	0.032
patient2_i4	chr13	57037101	57256500	133	36	0.484	0.363	2	1	0.59	0.323
patient2_i4	chr13	57257501	92172500	32263	18616	-0.108	0.495	1	1	-0.138	0.014
patient2_i4	chr13	92172501	114351950	20235	13263	-0.069	0.491	1	1	-0.088	0.022
patient2_i4	chr14	19960301	37564450	15292	8781	-0.066	0.497	1	1	-0.084	0.008
patient2_i4	chr14	37564451	37616450	50	30	0.425	0.35	2	1	0.52	0.356
patient2_i4	chr14	37617451	50770250	11971	6730	-0.088	0.494	1	1	-0.112	0.015
patient2_i4	chr14	50770251	50995250	204	132	0.385	0.366	2	1	0.473	0.321
patient2_i4	chr14	50995251	66344850	14033	6081	-0.064	0.489	1	1	-0.082	0.029
patient2_i4	chr14	66344851	66424850	76	4	0.368	0.437	2	1	0.452	0.15
patient2_i4	chr14	66424851	106883450	36333	21280	-0.061	0.49	1	1	-0.078	0.025
patient2_i4	chr15	17034751	23123050	532	395	-0.761	0.203	1	0	-1.058	0.924
patient2_i4	chr15	23368151	23426150	50	2	0.143	0.487	1	1	0.179	0.032
patient2_i4	chr15	23434151	63450600	34504	19593	-0.757	0.19	1	0	-1.052	0.964
patient2_i4	chr15	63451601	63679600	212	153	-0.05	0.125	2	0	-0.064	0.96
patient2_i4	chr15	63679601	101885550	33751	22351	-0.75	0.189	1	0	-1.041	0.966
patient2_i4	chr16	17001	16222250	13522	11784	-0.726	0.19	1	0	-1.004	0.952
patient2_i4	chr16	16449251	16653250	36	8	0.073	0.385	2	1	0.092	0.288
patient2_i4	chr16	16749251	18214250	1215	680	-0.753	0.193	1	0	-1.045	0.953
patient2_i4	chr16	18536251	18621250	20	0	0.102	NA	NA	NA	0.128	NA
patient2_i4	chr16	18658251	69956000	32456	14334	-0.745	0.192	1	0	-1.033	0.956
patient2_i4	chr16	69978001	70200000	77	22	0.156	0.475	1	1	0.195	0.062
patient2_i4	chr16	70206001	90100000	17299	14827	-0.732	0.191	1	0	-1.014	0.952
patient2_i4	chr17	387901	1078850	510	437	-0.003	0.114	2	0	-0.004	0.979
patient2_i4	chr17	1079851	1721750	501	377	0.493	0.084	3	0	0.601	0.978
patient2_i4	chr17	1723751	6766750	4214	2828	-0.018	0.115	2	0	-0.023	0.98
patient2_i4	chr17	6766751	8584750	1525	856	0.444	0.082	3	0	0.543	0.991
patient2_i4	chr17	8585751	28845950	13102	7447	-0.048	0.116	2	0	-0.061	0.982
patient2_i4	chr17	28846951	29626950	659	121	0.441	0.085	3	0	0.54	0.983
patient2_i4	chr17	29626951	31640950	1606	514	-0.022	0.122	2	0	-0.028	0.961
patient2_i4	chr17	31640951	39667200	6293	3752	-0.738	0.192	1	0	-1.023	0.952
patient2_i4	chr17	39668201	40382200	596	349	-0.025	0.12	2	0	-0.032	0.969
patient2_i4	chr17	40382201	43227200	2420	1197	-0.725	0.193	1	0	-1.002	0.943
patient2_i4	chr17	43324051	44807050	1235	598	-0.009	0.116	2	0	-0.012	0.976
patient2_i4	chr17	44807051	45496050	556	304	0.456	0.087	3	0	0.557	0.977
patient2_i4	chr17	45505051	72910050	23406	12675	-0.04	0.117	2	0	-0.051	0.979
patient2_i4	chr17	72911051	73968050	963	1017	0.778	0.067	4	0	0.931	0.987
patient2_i4	chr17	73968051	75506050	1353	824	-0.012	0.119	2	0	-0.015	0.968
patient2_i4	chr17	75506051	76071050	470	138	0.393	0.092	3	0	0.483	0.973
patient2_i4	chr17	76071051	83204050	6204	3896	-0.022	0.118	2	0	-0.028	0.973
patient2_i4	chr18	64351	80257250	68030	39234	0.379	0.361	2	1	0.466	0.331
patient2_i4	chr19	270951	936950	484	409	0.032	0.125	2	0	0.04	0.946
patient2_i4	chr19	937951	1168950	185	221	0.527	0.083	4	0	0.64	0.978
patient2_i4	chr19	1168951	1688950	413	194	-0.663	0.208	1	0	-0.908	0.879
patient2_i4	chr19	1689951	2074950	285	98	0.857	0.064	5	0	1.021	0.987
patient2_i4	chr19	2074951	2189950	89	99	0.498	0.087	3	0	0.606	0.972
patient2_i4	chr19	2189951	10605250	6344	4184	0.019	0.117	2	0	0.024	0.968
patient2_i4	chr19	10605251	10629250	16	1	0.553	0.485	2	2	0.671	0.036
patient2_i4	chr19	10630251	12649250	1565	576	0.011	0.117	2	0	0.013	0.97
patient2_i4	chr19	12651251	12852250	160	56	0.464	0.095	3	0	0.566	0.956
patient2_i4	chr19	12854251	13319250	361	141	1.296	0.492	3	3	1.509	0.016
patient2_i4	chr19	13319251	14218250	691	342	1.182	0.39	4	2	1.383	0.244
patient2_i4	chr19	14218251	14515250	205	135	1.429	0.493	4	4	1.654	0.015
patient2_i4	chr19	14515251	16357250	1479	1192	1.136	0.4	4	2	1.333	0.222
patient2_i4	chr19	16357251	17550250	951	439	0.964	0.458	3	2	1.141	0.093
patient2_i4	chr19	17551251	18399250	645	512	1.172	0.399	4	2	1.372	0.223
patient2_i4	chr19	18402251	21659500	2669	1628	0.985	0.439	3	2	1.165	0.136
patient2_i4	chr19	21661501	22470500	699	259	1.177	0.378	4	2	1.379	0.269
patient2_i4	chr19	22470501	23373500	778	362	1.058	0.423	3	2	1.247	0.171
patient2_i4	chr19	23374501	23509500	115	45	1.257	0.492	3	3	1.466	0.017
patient2_i4	chr19	23509501	24329500	715	626	1.008	0.418	3	2	1.19	0.183
patient2_i4	chr19	27274251	27989150	599	872	0.787	0.46	2	2	0.942	0.092
patient2_i4	chr19	27989151	30446150	2259	1821	0.727	0.494	2	2	0.872	0.014
patient2_i4	chr19	30446151	31823150	1300	825	0.926	0.449	3	2	1.099	0.115
patient2_i4	chr19	31823151	33716150	1687	1080	1.129	0.391	4	2	1.325	0.241
patient2_i4	chr19	33716151	36186950	2118	1166	0.966	0.446	3	2	1.143	0.122
patient2_i4	chr19	36190951	58538400	17508	11473	-0.021	0.12	2	0	-0.027	0.969
patient2_i4	chr20	67651	32665750	26250	15223	0.386	0.362	2	1	0.474	0.328
patient2_i4	chr20	32666751	33423750	663	481	-0.015	0.494	1	1	-0.019	0.015
patient2_i4	chr20	33424751	33735750	235	29	0.506	0.348	2	1	0.616	0.357
patient2_i4	chr20	33735751	36273750	2107	1112	-0.022	0.496	1	1	-0.028	0.011
patient2_i4	chr20	36273751	36364750	83	22	0.45	0.376	2	1	0.55	0.294
patient2_i4	chr20	36364751	39042750	2359	709	-0.038	0.49	1	1	-0.048	0.024
patient2_i4	chr20	39042751	64285950	22933	13674	0.41	0.361	2	1	0.503	0.33
patient2_i4	chr21	12965551	30912800	16037	9217	-0.094	0.486	1	1	-0.12	0.037
patient2_i4	chr21	30912801	31650800	649	338	0.407	0.37	2	1	0.499	0.308
patient2_i4	chr21	31650801	46681650	13068	8976	-0.065	0.493	1	1	-0.083	0.019
patient2_i4	chr22	10684001	15940150	53	5	-0.301	0.449	1	1	-0.394	0.137
patient2_i4	chr22	15947151	37131000	16990	7672	-0.735	0.194	1	0	-1.018	0.945
patient2_i4	chr22	37131001	38466000	1160	335	-0.017	0.121	2	0	-0.021	0.964
patient2_i4	chr22	38466001	45865000	6213	3059	-0.709	0.187	1	0	-0.978	0.955
patient2_i4	chr22	45865001	46047000	163	131	0.003	0.128	2	0	0.004	0.944
patient2_i4	chr22	46047001	46365000	286	107	0.46	0.087	3	0	0.562	0.976
patient2_i4	chr22	46367001	46442000	67	15	0.001	0.112	2	0	0.001	0.985
patient2_i4	chr22	46442001	50776650	3879	2937	-0.741	0.194	1	0	-1.027	0.946
patient2_i4	chrX	330051	155983250	128494	40070	-0.773	0.191	1	0	-1.077	0.968
patient2_p1	chr1	794251	106559350	93276	50652	-0.019	0.492	1	1	-0.031	0.025
patient2_p1	chr1	106559351	246726350	101506	54700	0.056	0.477	1	1	0.09	0.074
patient2_p1	chr1	246726351	248930600	1775	1596	0.199	0.454	2	1	0.313	0.14
patient2_p1	chr2	11001	66000	55	4	-0.536	0.345	1	0	-1.025	0.712
patient2_p1	chr2	66001	4234850	3787	3047	0.037	0.236	2	0	0.06	0.853
patient2_p1	chr2	4235851	14253450	9254	5394	-0.025	0.232	2	0	-0.041	0.889
patient2_p1	chr2	14253451	28293150	12951	8321	-0.001	0.228	2	0	-0.002	0.892
patient2_p1	chr2	28293151	29100150	730	381	0.361	0.173	3	0	0.552	0.939
patient2_p1	chr2	29100151	70190750	37511	25613	-0.046	0.232	2	0	-0.076	0.899
patient2_p1	chr2	70190751	70980750	720	478	0.352	0.406	2	1	0.538	0.271
patient2_p1	chr2	70980751	71513750	483	131	-0.037	0.249	2	0	-0.062	0.837
patient2_p1	chr2	71513751	71587750	68	67	0.384	0.186	3	0	0.585	0.896
patient2_p1	chr2	71587751	80562750	8277	4808	-0.041	0.231	2	0	-0.068	0.898
patient2_p1	chr2	80562751	83997750	3195	1817	-0.088	0.234	2	0	-0.146	0.908
patient2_p1	chr2	83997751	121547450	25946	12584	-0.033	0.23	2	0	-0.054	0.897
patient2_p1	chr2	121547451	121842450	258	66	0.307	0.191	3	0	0.474	0.901
patient2_p1	chr2	121842451	134980250	11423	5949	-0.071	0.238	2	0	-0.118	0.887
patient2_p1	chr2	134980251	135044250	58	1	0.328	0.482	2	2	0.505	0.052
patient2_p1	chr2	135044251	141299250	5820	2905	-0.046	0.232	2	0	-0.076	0.898
patient2_p1	chr2	141299251	141682250	351	410	-0.545	0.312	1	0	-1.046	0.874
patient2_p1	chr2	141682251	170814150	26997	11092	-0.048	0.231	2	0	-0.079	0.9
patient2_p1	chr2	170814151	171096150	253	14	0.29	0.19	3	0	0.449	0.909
patient2_p1	chr2	171096151	242110100	65067	33487	-0.037	0.232	2	0	-0.061	0.894
patient2_p1	chr3	12351	51350	37	47	-0.732	0.205	1	0	-1.524	1.673
patient2_p1	chr3	51351	86622750	79182	45360	-0.029	0.196	2	0	-0.047	1.011
patient2_p1	chr3	86622751	109767850	18423	7710	0.653	0.12	4	0	0.956	1.01
patient2_p1	chr3	109767851	111167350	1303	2	0.612	0.489	2	2	0.901	0.03
patient2_p1	chr3	111167351	117008350	5466	1768	0.681	0.122	5	0	0.992	0.999
patient2_p1	chr3	117008351	117174350	151	89	0.301	0.15	3	0	0.465	1.026
patient2_p1	chr3	117175351	169387550	47897	27074	0.679	0.118	4	0	0.989	1.009
patient2_p1	chr3	169387551	169642550	238	106	1.388	0.078	8	0	1.868	0.992
patient2_p1	chr3	169642551	169710550	59	2	1.752	0.48	6	5	2.288	0.045
patient2_p1	chr3	169710551	170162550	407	119	1.399	0.074	8	0	1.881	1
patient2_p1	chr3	170162551	189266850	17359	7818	0.696	0.118	5	0	1.012	1.007
patient2_p1	chr3	189266851	198098650	7574	5738	0.656	0.123	4	0	0.959	1.002
patient2_p1	chr4	137201	2375650	1915	885	-0.019	0.489	1	1	-0.032	0.036
patient2_p1	chr4	2376651	2640650	211	168	0.301	0.402	2	1	0.466	0.287
patient2_p1	chr4	2642651	7966750	4833	4258	-0.011	0.49	1	1	-0.018	0.032
patient2_p1	chr4	7966751	8667750	642	707	0.408	0.381	2	1	0.619	0.337
patient2_p1	chr4	8667751	9613350	615	696	0.047	0.492	1	1	0.076	0.025
patient2_p1	chr4	9618351	9631350	12	0	-0.962	NA	NA	NA	-2.304	NA
patient2_p1	chr4	9631351	39314350	27536	16291	-0.053	0.485	1	1	-0.088	0.05
patient2_p1	chr4	39314351	39401350	76	50	-0.546	0.377	1	0	-1.049	0.572
patient2_p1	chr4	39405351	57757950	14168	8167	-0.031	0.496	1	1	-0.051	0.012
patient2_p1	chr4	57757951	181589050	113774	68618	-0.046	0.495	1	1	-0.076	0.017
patient2_p1	chr4	181589051	182195050	567	384	-0.557	0.284	1	0	-1.075	1.016
patient2_p1	chr4	182195051	190037450	6869	5833	-0.039	0.487	1	1	-0.064	0.042
patient2_p1	chr5	43851	1966350	1485	965	0.748	0.495	2	2	1.08	0.013
patient2_p1	chr5	1966351	14951700	12150	8266	0.671	0.498	2	2	0.978	0.005
patient2_p1	chr5	14951701	16410700	1387	751	0.412	0.381	2	1	0.625	0.336
patient2_p1	chr5	16410701	16799700	365	348	0.715	0.494	2	2	1.037	0.016
patient2_p1	chr5	16799701	16910700	99	100	0.412	0.379	2	1	0.625	0.342
patient2_p1	chr5	16910701	28023050	9803	5209	0.632	0.497	2	2	0.926	0.009
patient2_p1	chr5	28023051	28059050	34	24	1.055	0.36	4	2	1.468	0.344
patient2_p1	chr5	28059051	62675250	28354	16932	0.652	0.499	2	2	0.954	0.002
patient2_p1	chr5	62675251	62887250	190	245	1.147	0.363	5	2	1.581	0.332
patient2_p1	chr5	62887251	139351350	68479	36499	0.01	0.222	2	0	0.017	0.906
patient2_p1	chr5	139351351	139411350	52	1	0.614	0.486	2	2	0.902	0.037
patient2_p1	chr5	139411351	181171350	37550	23937	0.029	0.224	2	0	0.048	0.893
patient2_p1	chr6	148001	17963550	16122	10738	0.558	0.13	4	0	0.827	1.008
patient2_p1	chr6	17963551	18471550	441	213	0.81	0.109	5	0	1.161	1.006
patient2_p1	chr6	18471551	31310300	11384	8447	0.571	0.125	4	0	0.845	1.018
patient2_p1	chr6	31311301	31321300	10	0	-2.486	NA	NA	NA	-10	NA
patient2_p1	chr6	31321301	32984300	1300	4552	0.586	0.123	4	0	0.865	1.019
patient2_p1	chr6	32984301	33231300	222	325	0.928	0.096	6	0	1.31	1.015
patient2_p1	chr6	33231301	73356400	34544	22131	0.596	0.125	4	0	0.878	1.011
patient2_p1	chr6	73357401	79569400	5616	4529	-0.039	0.196	2	0	-0.064	1.014
patient2_p1	chr6	79569401	79941400	352	314	0.373	0.152	3	0	0.569	0.996
patient2_p1	chr6	79941401	170610150	83722	51297	-0.56	0.281	1	0	-1.081	1.029
patient2_p1	chr7	50351	30422500	27320	19372	0.01	0.487	1	1	0.017	0.043
patient2_p1	chr7	30422501	104505150	59963	33802	0.004	0.484	1	1	0.006	0.051
patient2_p1	chr7	104505151	105292150	711	3	0.435	0.479	2	2	0.657	0.058
patient2_p1	chr7	105293151	159285850	48115	26495	0.016	0.491	1	1	0.027	0.03
patient2_p1	chr7	159285851	159333850	45	99	-0.56	0.488	1	1	-1.081	0.058
patient2_p1	chr8	206001	4167000	3329	4226	0.11	0.262	2	0	0.176	0.747
patient2_p1	chr8	4167001	4279000	100	105	-0.374	0.349	1	0	-0.677	0.612
patient2_p1	chr8	4279001	12037600	5973	6360	0.097	0.257	2	0	0.156	0.764
patient2_p1	chr8	12125601	12136600	10	22	0.958	0.49	3	3	1.347	0.024
patient2_p1	chr8	12614051	38068050	23371	15897	0.087	0.26	2	0	0.141	0.758
patient2_p1	chr8	38070051	38542050	377	134	0.889	0.419	3	2	1.262	0.205
patient2_p1	chr8	38543051	41360050	2460	1516	0.544	0.475	2	2	0.808	0.067
patient2_p1	chr8	41360051	42937050	1386	514	0.943	0.411	3	2	1.329	0.222
patient2_p1	chr8	42937051	43937350	897	229	0.752	0.472	3	2	1.086	0.073
patient2_p1	chr8	45971351	46613350	624	550	0.33	0.382	2	1	0.507	0.341
patient2_p1	chr8	46613351	46633350	20	0	1.205	NA	NA	NA	1.65	NA
patient2_p1	chr8	46633351	50985750	4058	1361	0.332	0.387	2	1	0.511	0.327
patient2_p1	chr8	50985751	51281750	277	279	0.508	0.489	2	2	0.758	0.03
patient2_p1	chr8	51281751	52819750	1440	521	0.087	0.262	2	0	0.141	0.753
patient2_p1	chr8	52819751	54762750	1807	524	0.389	0.397	2	1	0.592	0.293
patient2_p1	chr8	54762751	58449850	3431	2306	0.58	0.48	2	2	0.856	0.055
patient2_p1	chr8	58449851	75108150	15397	7990	0.362	0.385	2	1	0.553	0.331
patient2_p1	chr8	75108151	81901650	6287	3724	0.6	0.48	2	2	0.884	0.054
patient2_p1	chr8	81901651	114477550	29906	16428	0.076	0.26	2	0	0.123	0.763
patient2_p1	chr8	114477551	115622550	1062	481	0.51	0.469	2	2	0.762	0.085
patient2_p1	chr8	115622551	117161550	1454	445	0.74	0.48	3	2	1.07	0.052
patient2_p1	chr8	117161551	121438550	3977	2721	0.572	0.477	2	2	0.846	0.061
patient2_p1	chr8	121439551	122497550	965	567	0.892	0.412	3	2	1.264	0.223
patient2_p1	chr8	122497551	123486550	902	553	1.118	0.375	4	2	1.546	0.304
patient2_p1	chr8	123486551	124159550	637	465	1.233	0.339	5	2	1.684	0.387
patient2_p1	chr8	124159551	125132550	905	519	0.938	0.406	4	2	1.322	0.236
patient2_p1	chr8	125132551	129978550	4460	3111	0.551	0.481	2	2	0.818	0.052
patient2_p1	chr8	129978551	135156550	4880	3317	0.801	0.477	3	2	1.149	0.059
patient2_p1	chr8	135156551	145026350	9004	6607	0.599	0.478	2	2	0.883	0.06
patient2_p1	chr8	145026351	145075350	46	14	-0.012	0.483	1	1	-0.02	0.055
patient2_p1	chr9	11001	73402350	40579	23313	-0.034	0.492	1	1	-0.056	0.026
patient2_p1	chr9	73402351	73412350	10	2	-0.986	0.486	0	0	-2.409	0.122
patient2_p1	chr9	73412351	97335850	21722	11979	-0.071	0.495	1	1	-0.118	0.018
patient2_p1	chr9	97335851	138208550	36906	21211	-0.032	0.495	1	1	-0.054	0.017
patient2_p1	chr10	47451	38480450	34608	22037	-0.051	0.493	1	1	-0.085	0.025
patient2_p1	chr10	38596251	38615250	18	0	-1.095	NA	NA	NA	-2.964	NA
patient2_p1	chr10	38616251	54523500	10310	8860	-0.047	0.496	1	1	-0.078	0.014
patient2_p1	chr10	54523501	54748500	206	127	-0.525	0.318	1	0	-1.001	0.831
patient2_p1	chr10	54748501	59605500	4538	3487	-0.057	0.497	1	1	-0.094	0.011
patient2_p1	chr10	59606501	59660500	50	25	0.392	0.372	2	1	0.597	0.366
patient2_p1	chr10	59660501	93069500	30052	17841	-0.054	0.496	1	1	-0.09	0.013
patient2_p1	chr10	93069501	93912500	772	914	0.274	0.417	2	1	0.425	0.246
patient2_p1	chr10	93912501	103011500	8056	3905	-0.015	0.497	1	1	-0.025	0.011
patient2_p1	chr10	103011501	131580150	26584	15349	0.249	0.405	2	1	0.389	0.283
patient2_p1	chr10	131580151	133621150	1759	1129	0.333	0.406	2	1	0.512	0.273
patient2_p1	chr11	197251	1836950	1371	1708	0.026	0.482	1	1	0.042	0.058
patient2_p1	chr11	1836951	22812100	19019	13177	-0.029	0.494	1	1	-0.048	0.02
patient2_p1	chr11	22812101	22874100	56	35	-0.54	0.324	1	0	-1.034	0.814
patient2_p1	chr11	22874101	34188450	10396	5876	-0.038	0.495	1	1	-0.062	0.018
patient2_p1	chr11	34188451	35011700	619	545	0.387	0.385	2	1	0.589	0.328
patient2_p1	chr11	35013701	37027700	1906	1278	0.018	0.496	1	1	0.029	0.012
patient2_p1	chr11	37027701	42488700	5049	1994	-0.075	0.484	1	1	-0.125	0.054
patient2_p1	chr11	42488701	45680700	3016	1938	-0.007	0.495	1	1	-0.012	0.018
patient2_p1	chr11	45680701	45918700	227	107	-0.505	0.284	1	0	-0.956	0.969
patient2_p1	chr11	45918701	67029150	15188	8085	-0.025	0.494	1	1	-0.041	0.02
patient2_p1	chr11	67029151	67572150	448	77	0.334	0.393	2	1	0.513	0.31
patient2_p1	chr11	67572151	74254450	5865	3057	-0.036	0.491	1	1	-0.06	0.03
patient2_p1	chr11	74254451	74990450	651	138	0.326	0.391	2	1	0.501	0.316
patient2_p1	chr11	74990451	101071400	23711	15461	-0.032	0.496	1	1	-0.052	0.013
patient2_p1	chr11	101071401	102660400	1450	704	0.365	0.381	2	1	0.557	0.341
patient2_p1	chr11	102660401	129199750	24581	15110	-0.035	0.496	1	1	-0.058	0.013
patient2_p1	chr11	129199751	135015250	5471	3753	0.038	0.494	1	1	0.061	0.021
patient2_p1	chr11	135015251	135075250	56	54	-0.549	0.491	1	1	-1.055	0.043
patient2_p1	chr12	78551	732150	546	468	0.034	0.493	1	1	0.055	0.023
patient2_p1	chr12	732151	888150	125	102	-0.575	0.282	1	0	-1.117	1.04
patient2_p1	chr12	888151	37912850	30849	21001	-0.035	0.494	1	1	-0.057	0.019
patient2_p1	chr12	37912851	38099850	175	266	0.301	0.396	2	1	0.464	0.305
patient2_p1	chr12	38099851	55491350	15648	8267	-0.038	0.494	1	1	-0.062	0.021
patient2_p1	chr12	55491351	58511350	2544	1109	0.013	0.497	1	1	0.021	0.009
patient2_p1	chr12	58511351	71159550	11656	7168	-0.038	0.497	1	1	-0.063	0.011
patient2_p1	chr12	71159551	71191550	31	32	0.619	0.306	3	1	0.91	0.519
patient2_p1	chr12	71191551	111439750	36913	20204	-0.033	0.496	1	1	-0.054	0.014
patient2_p1	chr12	111439751	112242750	645	52	0.308	0.391	2	1	0.476	0.319
patient2_p1	chr12	112242751	133248950	18416	13309	-0.022	0.497	1	1	-0.036	0.01
patient2_p1	chr13	18355101	57037100	35018	21873	0.254	0.405	2	1	0.395	0.282
patient2_p1	chr13	57037101	57256500	133	36	0.671	0.397	3	2	0.979	0.272
patient2_p1	chr13	57257501	114351950	52498	31879	0.25	0.405	2	1	0.39	0.284
